date,open,high,low,close,volume,closeadj,change,pct_chg,sin_time_id,cos_time_id
2014-01-03,19.915,20.136,19.811,19.822,44204000,19.822,-0.14099999999999824,-0.7113308445161852,0.5712682150947923,0.8660254037844387
2014-01-06,19.793,19.85,19.421,19.681,63412000,19.681,0.21999999999999886,1.1178293785884805,0.9377521321470804,0.8660254037844387
2014-01-07,19.752,19.924,19.715,19.901,38320000,19.901,0.19500000000000028,0.9798502587809671,0.9884683243281114,0.8660254037844387
2014-01-08,19.924,20.15,19.802,20.096,46330000,20.096,-0.045999999999999375,-0.2289012738853472,0.9987165071710528,0.8660254037844387
2014-01-09,20.185,20.345,19.922,20.05,42060000,20.05,-0.1670000000000016,-0.8329177057356687,0.9680771188662043,0.8660254037844387
2014-01-10,20.127,20.188,19.69,19.883,53590000,19.883,-0.33399999999999963,-1.679826987879091,0.8978045395707416,0.8660254037844387
2014-01-13,19.899,19.989,19.422,19.549,56898000,19.549,0.3279999999999994,1.6778351833853364,0.48530196253108104,0.8660254037844387
2014-01-14,19.607,19.931,19.565,19.877,46802000,19.877,-0.08299999999999841,-0.4175680434673161,0.29936312297335804,0.8660254037844387
2014-01-15,19.947,19.965,19.627,19.794,53566000,19.794,-0.004000000000001336,-0.02020814388199119,0.10116832198743272,0.8660254037844387
2014-01-16,19.684,19.965,19.471,19.79,52024000,19.79,0.19000000000000128,0.9600808489135992,-0.10116832198743204,0.8660254037844387
2014-01-17,19.713,20.175,19.683,19.98,90102000,19.98,0.3719999999999999,1.8618618618618612,-0.2993631229733582,0.8660254037844387
2014-01-21,20.15,20.39,20.08,20.352,62442000,20.352,-0.125,-0.614190251572327,-0.8978045395707417,0.8660254037844387
2014-01-22,20.4,20.403,20.1,20.227,41210000,20.227,-0.23300000000000054,-1.1519256439412693,-0.9680771188662041,0.8660254037844387
2014-01-23,20.05,20.309,19.89,19.994,60508000,19.994,-0.6140000000000008,-3.0709212763829186,-0.9987165071710528,0.8660254037844387
2014-01-24,19.908,20.01,19.363,19.38,89168000,19.38,-0.06599999999999895,-0.34055727554179027,-0.9884683243281114,0.8660254037844387
2014-01-27,19.525,19.705,19.024,19.314,78736000,19.314,0.40700000000000003,2.10727969348659,-0.72479278722912,0.8660254037844387
2014-01-28,19.37,19.737,19.356,19.721,57890000,19.721,-0.5109999999999992,-2.5911464935855144,-0.5712682150947924,0.8660254037844387
2014-01-29,19.608,19.643,19.162,19.21,67646000,19.21,0.940999999999999,4.898490369599162,-0.3943558551133187,0.8660254037844387
2014-01-30,19.688,20.312,19.385,20.151,209478000,20.151,-2.2169999999999987,-11.00193538782194,-0.20129852008866114,0.8660254037844387
2014-01-31,18.588,18.773,17.888,17.934,323096000,17.934,-0.6270000000000024,-3.496152559384423,-2.4492935982947064e-16,0.8660254037844387
2014-02-03,17.949,18.043,17.005,17.307,205616000,17.307,0.09100000000000108,0.5257988097301732,0.5712682150947923,0.5000000000000001
2014-02-04,17.479,17.7,17.201,17.398,96258000,17.398,-0.07600000000000051,-0.43683181974939944,0.72479278722912,0.5000000000000001
2014-02-05,17.3,17.468,16.887,17.322,88708000,17.322,0.40700000000000003,2.3496132086364163,0.8486442574947509,0.5000000000000001
2014-02-06,17.37,17.741,17.37,17.729,66714000,17.729,0.3249999999999993,1.833154718258217,0.9377521321470804,0.5000000000000001
2014-02-07,17.949,18.09,17.625,18.054,86610000,18.054,-0.00999999999999801,-0.055389387393364416,0.9884683243281114,0.5000000000000001
2014-02-10,18.081,18.25,17.968,18.044,68994000,18.044,0.045999999999999375,0.2549323874972255,0.8978045395707416,0.5000000000000001
2014-02-11,18.092,18.181,17.812,18.09,64442000,18.09,-0.6280000000000001,-3.471531232725263,0.7907757369376989,0.5000000000000001
2014-02-12,17.822,17.887,17.316,17.462,131754000,17.462,0.3979999999999997,2.2792349100904805,0.6513724827222223,0.5000000000000001
2014-02-13,17.385,17.86,17.325,17.86,83500000,17.86,0.0070000000000014495,0.03919372900336758,0.48530196253108104,0.5000000000000001
2014-02-14,17.967,17.967,17.668,17.867,70404000,17.867,-0.18500000000000227,-1.0354284434992012,0.29936312297335804,0.5000000000000001
2014-02-18,17.764,17.787,17.473,17.682,99960000,17.682,-0.31299999999999883,-1.7701617464087709,-0.4853019625310808,0.5000000000000001
2014-02-19,17.632,17.727,17.305,17.369,83362000,17.369,0.12099999999999866,0.696643445218485,-0.651372482722222,0.5000000000000001
2014-02-20,17.44,17.523,17.219,17.49,69856000,17.49,-0.15199999999999747,-0.8690680388793454,-0.7907757369376986,0.5000000000000001
